id,url,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,isReply
2.06E+18,https://x.com/tekarok007/status/2055155058837451150,"@CWALIKOTADPK @Youbeagger_ @PecintaSejarah2 ??Jual CPO ke asing itu uang luar masuk dan gak pakai uang rakyat. COI terjadi kalo Presiden bikin aturan instansi negara WAJIB beli kertas dari pabriknya. Trus kasus Nadiem ngunci spek wajib buat ChromeOS (Google) dan pake uang negara, padahal ada relasi investasi.",Fri May 15 05:15:23 +0000 2026,2,4,6,1,407,FALSE
2.06E+18,https://x.com/gilagocekbola/status/2055154083007443164,"@liogtttscrp Jir gw gak kenal Nadiem dan 2 hari ini gw kayaknya udah reply post banyak bgt terkait kasus tuntutan dia. Pertanyaan gw lagi, apa sih yg lo mau capai dengan mengkriminalisasi dia? That guy deserves more respect from his fellow Indonesians for what he's done. What have you done?",Fri May 15 05:11:30 +0000 2026,0,2,0,0,20,TRUE
2.06E+18,https://x.com/ultimaggnar/status/2055154068772012051,"Ya Allah w mau belajar yg rajin yg tekun biar bs keluar dr Indonesia, ngeliat kasus pak nadiem sedih bgt bnrr2 sedih????????????????????????????",Fri May 15 05:11:27 +0000 2026,0,0,0,0,96,TRUE
2.06E+18,https://x.com/kwonosshi/status/2055153822549590112,"KETIKA HUKUM KEHILANGAN NALARNYA...?? OC Kaligis turun tangan! Beliau menegaskan bahwa dalam kasus Nadiem Makarim, unsur pidananya sangat lemah. Logikanya simpel: ? Niat jahat? Gak ada. ? Kerugian negara? Nol. ? Perbuatan melawan hukum? Diawasi jaksa. Jangan sampai kita terjebak dalam penghakiman massa tanpa dasar bukti yang nyata. Tegakkan hukum seadil-adilnya?? Salam otak waras. ??",Fri May 15 05:10:28 +0000 2026,0,0,1,0,85,FALSE
2.06E+18,https://x.com/hope_emak/status/2055152575394336768,besok  besok hukum itu bisa memenjarakan kamu hanya karena berbeda pendapat.... Iya memang Nadiem memang tetap bersalah atas keputusan nya secara kebijakan terhadap chrombook tapi itu adalah dua hal yang berbeda dengan persidang kasus korupsi ini...,Fri May 15 05:05:31 +0000 2026,7,3,13,1,296,FALSE
2.06E+18,https://x.com/azzrial28/status/2055150521766596996,"Sejauh yang gue baca dari kasus Pak Nadiem adalah buktinya gak akurat, hanya berdasarkan dari asumsi dan dugaan jaksa, terus kenapa udah sampai ditahan 18 tahun? Wkwk",Fri May 15 04:57:21 +0000 2026,0,0,0,0,15,TRUE
2.06E+18,https://x.com/rakyatbiasa33/status/2055148847475630411,Liat kasus nadiem jadi kepikiran kira-kira entar rafi ahmad bisa kena juga ngga ya? ??,Fri May 15 04:50:42 +0000 2026,0,0,0,0,33,FALSE
2.06E+18,https://x.com/iamsnowlily/status/2055148760624472563,"@dusrimulya bacot buzzer, scr hukum si nadiem itu ga salah apapun, gratifikasi juga kagak, invest gojek dah jauh dari sblm covid, kasus baru 2022 mikir kontol. bilang aja yg rekomen tender windows kalah, makanya nadiem digiring soalny lu lu"" semua gabisa korupsi dari windows",Fri May 15 04:50:22 +0000 2026,0,0,0,0,5,FALSE
2.06E+18,https://x.com/_vrscee/status/2055148176584372580,"Sebenarnya angka 18th penjara buat koruptor itu wajar bgt.. Yg ga wajar klo dibawah 10th, pasti ada permainan sebelum keputusan, makanya hukumannya bisa rendah begitu.. Terlepas dr benar salahnya kasus Pak Nadiem",Fri May 15 04:48:02 +0000 2026,0,1,3,0,352,TRUE
2.06E+18,https://x.com/kamehamehauhuy/status/2055147612077232516,rupiah anjlok keputusan hukum nadiem buka tiktok isinya kasus kasus selebgram ga penting buka twitter negara mo bubar buka ig orang naik gunung emg yg bener cuma buka mbaking biar kita beli kopi,Fri May 15 04:45:48 +0000 2026,0,0,0,0,13,FALSE
